Item	Description	Tested feature defined in Release	Test sequence(s)	R99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14-ME	Network Dependency	Support	Additional test case execution recommendation
1	UE identification by short IMSI	R99	5.1.1	M	M	M	M	M	C049	C049	C049	C049	C049	C049	C049	UMTS System Simulator or System Simulator only		AER005
2	UE identification by short IMSI using 2 digit MNC	R99	5.1.2	M	M	M	M	M	C049	C049	C049	C049	C049	C049	C049	UMTS System Simulator or System Simulator only		AER005
3	UE identification by "short" TMSI	R99	5.1.3	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	UMTS System Simulator or System Simulator only		AER005
4	UE identification by "long" TMSI	R99	5.1.4	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	UMTS System Simulator or System Simulator only		AER005
5	UE identification by long IMSI, TMSI updating after key set identifier assignment	R99	5.1.5	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	C004	UMTS System Simulator or System Simulator only		AER005
6	UE identification by short IMSI when accessing E-UTRAN/EPC	Rel-8	5.1.6	N/A	N/A	N/A	N/A	N/A	C027	C027	C027	C027	C027	C045	C045	E-UTRAN System Simulator  or NB System Simulator  (See Note 2)		
7	UE identification by short IMSI using 2 digit MNC when accessing E-UTRAN/EPC	Rel-8	5.1.7	N/A	N/A	N/A	N/A	N/A	C027	C027	C027	C027	C027	C045	C045	E-UTRAN System Simulator  or NB System Simulator  (See Note 2)		
8	UE identification after changed IMSI with service "EMM Information" not available	Rel-8	5.1.8	N/A	N/A	N/A	N/A	N/A	C027	C027	C027	C027	C027	C045	C045	E-UTRAN System Simulator  or NB System Simulator  (See Note 2)		
9	UE identification by GUTI when using USIM with service "EMM Information" not available 	Rel-8	5.1.9	N/A	N/A	N/A	N/A	N/A	C027	C027	C027	C027	C027	 C045	C045	E-UTRAN System Simulator  or NB System Simulator  (See Note 2)		
10	UE identification by GUTI when using USIM with service "EMM Information" available	Rel-8	5.1.10	N/A	N/A	N/A	N/A	N/A	C027	C027	C027	C027	C027	 C045	C045	E-UTRAN System Simulator or NB System Simulator (See Note 2) 		
