.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.1.1	No	R99	M	PROFILE DOWNLOAD 27.22.1	
27.22.2	No	R99	M	Contents of the TERMINAL PROFILE command 27.22.2	
27.22.3	No	R99	M	Servicing of Proactive UICC Commands 27.22.3	
27.22.4.1				DISPLAY TEXT 27.22.4.1	
27.22.4.1.1/1	No	R99	C177	Unpacked	
27.22.4.1.1/2	No	R99	C177	Screen busy	
27.22.4.1.1/3	No	R99	C177	high priority	
27.22.4.1.1/4	No	R99	C177	Packed	
27.22.4.1.1/5	No	R99	C177	clear after delay	
27.22.4.1.1/6	No	R99	C177	long text up to 160 bytes	
27.22.4.1.1/7	No	R99	C177 AND C178	Backwards move in USIM session	
27.22.4.1.1/8	No	R99	C177 AND C178	Session terminated by user	
27.22.4.1.1/9	No	R99	C177	Command not understood by ME	
27.22.4.1.2/1	No	R99	C120 AND C177 AND C178	no response from user	
27.22.4.1.3/1	No	R99	C177	Extension Text	
27.22.4.1.4/1	No	R99	C177	sustained text	
27.22.4.1.4/2	No	R99	C177	sustained text	
27.22.4.1.4/3	No	R99	C177 AND C178	sustained text	
27.22.4.1.4/4	UMTS System Simulator or System Simulator only	R99	C177 AND C180 AND C183	sustained text	
27.22.4.1.5/1	No	R99	C108 AND C177	Icons – basic icon	
27.22.4.1.5/3	No	R99	C108 AND C177	Icons – basic icon	
27.22.4.1.5/2	No	R99	C171 AND C177	Icons – colour icon	
27.22.4.1.6/1	No	R99	C118 AND C177	UCS2 display in Cyrillic	
27.22.4.1.7/1	No	Rel-4	C126 AND C177 AND C178	Variable Timeout	
27.22.4.1.8/1	No	Rel-5	C153 AND C177	Text attribute – left alignment	
27.22.4.1.8/2	No	Rel-5	C154 AND C177	Text attribute – center alignment	
27.22.4.1.8/3	No	Rel-5	C155 AND C177	Text attribute – right alignment	
27.22.4.1.8/4	No	Rel-5	C157 AND C156 AND C177	Text attribute – large font size	
27.22.4.1.8/5	No	Rel-5	C158 AND C156 AND C177	Text attribute – small font size	
27.22.4.1.8/6	No	Rel-5	C160 AND C159 AND C177	Text attribute – bold on	
27.22.4.1.8/7	No	Rel-5	C161 AND C159 AND C177	Text attribute – italic on	
27.22.4.1.8/8	No	Rel-5	C162 AND C159 AND C177	Text attribute – underlined on	
27.22.4.1.8/9	No	Rel-5	C163 AND C159 AND C177	Text attribute – strikethrough on	
