Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
1	PROFILE DOWNLOAD 27.22.1	R99	1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/1	No		
2	Contents of the TERMINAL PROFILE command 27.22.2	R99		M	M	M	M	M	M	M	M	M	M	M	M	E.1/1	No		
3	Servicing of Proactive UICC Commands 27.22.3	R99		M	M	M	M	M	M	M	M	M	M	M	M		No		
4	DISPLAY TEXT 27.22.4.1																		
	Unpacked	R99	1.1	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	Screen busy	R99	1.2	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	high priority	R99	1.3	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	Packed	R99	1.4	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	clear after delay	R99	1.5	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	long text up to 160 bytes	R99	1.6	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	Backwards move in USIM session	R99	1.7	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/17 AND E.1/110 AND E.1/111	No		
