Clause	Title	Release	Applicability	Release Applicability	Comments
	RF Test cases
5.2	Maximum Output Power	R99	R	RA99	UEs supporting FDD
5.2A	Maximum Output Power with HS-DPCCH	Rel-5 only	C_RF02	RF_RO_04	UEs supporting FDD and HS-PDSCH
5.2AA	Maximum Output Power with HS-DPCCH (Release 6 and later)	Rel-6	C_RF24	RA6	UEs supporting FDD and HS-PDSCH and not E-DPDCH
5.2AB	UE Maximum output power for UL OLTD	Rel-11	C_RF123	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and not E-DPDCH
5.2AC	Maximum Output Power for UL CLTD activation state 1	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.2AD	Maximum Output Power for UL CLTD activation state 2 and 3	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.2B	Maximum Output Power with HS-DPCCH and E-DCH	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
5.2BA	UE Maximum Output Power for DC-HSUPA (QPSK)	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.2BB	UE Maximum Output Power for DC-HSUPA (16QAM)	Rel-9	C_RF111	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 9)
5.2BC	UE maximum output power with HS-DPCCH and E-DCH for OLTD	Rel-11	C_RF124	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and E-DPDCH
5.2BD	Maximum Output Power with HS-DPCCH and E-DCH for UL CLTD activation state 1	Rel-11	C_RF130	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH
5.2BE	Maximum Output Power with HS-DPCCH and E-DCH for UL CLTD activation state 2 and 3.	Rel-11	C_RF130	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH
5.2C	UE relative code domain power accuracy	Rel-6	C_RF24	RA6	UEs supporting FDD and HS-PDSCH and not E-DPDCH
5.2CA	UE Relative code domain power accuracy for OLTD	Rel-11	C_RF123	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and not E-DPDCH
5.2CB	UE relative code domain power accuracy for UL CLTD activation state 1	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.2CC	UE relative code domain power accuracy for UL CLTD activation state 2 and 3	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.2D	UE relative code domain power accuracy for HS-DPCCH and E-DCH	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
5.2DA	UE Relative Code Domain Power Accuracy for DC-HSUPA with QPSK	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.2DB	UE Relative code domain power accuracy for HS-DPCCH and E-DCH for OLTD	Rel-11	C_RF124	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and E-DPDCH
5.2DC	UE Relative Code Domain Power Accuracy for HS-DPCCH and E-DCH for UL CLTD activation state 1	Rel-11	C_RF130	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH
5.2DD	UE Relative Code Domain Power Accuracy for HS-DPCCH and E-DCH for UL CLTD activation state 2 and 3	Rel-11	C_RF130	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH
5.2E	UE Relative Code Domain Power Accuracy for HS-DPCCH and E-DCH with 16QAM	Rel-7	C_RF43	RA7	UEs supporting FDD and HS-PDSCH, E-DPDCH and supporting 16QAM (E-DCH Category 7)
5.2EA	UE relative code domain power accuracy for DC-HSUPA using HS-DPCCH and E-DCH with 16QAM	Rel-9	C_RF111	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 9)
5.2EB	UE Relative code domain power accuracy for HS-DPCCH and E-DCH with 16-QAM for OLTD	Rel-11	C_RF126	R11	UEs supporting FDD and UL OLTD and HS-PDSCH, E-DPDCH and supporting 16QAM (E-DCH Category 7)
5.2EC	UE Relative Code Domain Power Accuracy for HS-DPCCH and E-DCH with 16QAM for UL CLTD activation state 1	Rel-11	C_RF127	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH and 16QAM
5.2ED	UE Relative Code Domain Power Accuracy for HS-DPCCH and E-DCH with 16QAM for UL CLTD activation state 2 and 3	Rel-11	C_RF127	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and E-DPDCH and 16QAM
5.3	Frequency Error	R99	R	RA99	UEs supporting FDD
5.3A	Frequency Error for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.3B	Frequency error for UL OLTD	Rel-11	C_RF123	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and not E-DPDCH
5.3C	Frequency error for UL CLTD Activation state 1	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.3D	Frequency error for UL CLTD Activation state 2 and 3	Rel-11	C_RF129	RA11	UEs supporting FDD and UL CLTD and HS-PDSCH and not E-DPDCH
5.4.1	Output Power Dynamics in the Uplink / Power control is used to limit the interference level / Open Loop Power Control in the Uplink	R99	R	RA99	UEs supporting FDD
5.4.1A	Open Loop Power Control in the Uplink for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
