Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
6	IDLE MODE					
6.1.1.1	PLMN selection of RPLMN, HPLMN, UPLMN and OPLMN; Manual mode	R99	C01	UEs supporting FDD		
6.1.1.2	PLMN selection of \"Other PLMN / access technology combinations\"; Manual mode	R99	C01	UEs supporting FDD		
6.1.1.3	PLMN selection; independence of RF level and preferred PLMN; Manual mode	R99	C01	UEs supporting FDD		
6.1.1.4	PLMN selection of RPLMN, HPLMN, UPLMN and OPLMN; Automatic mode	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.5	PLMN selection of \"Other PLMN / access technology combinations\"; Automatic mode	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.7	Cell reselection of ePLMN in manual mode	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.8	PLMN selection in shared network environment, Automatic mode	Rel-6	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.9	PLMN selection in shared network environment, Manual Mode	Rel-6	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.10	Presentation of additional information during PLMN selection; Manual mode	Rel-7	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.11	Void					
6.1.1.12	Displaying EHPLMNs in manual mode	Rel-7	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.1.13	PLMN selection of RPLMN or (E)HPLMN; Automatic mode	Rel-7	C589	UEs supporting FDD and “Last RPLMN” feature	1 Execution: CS+PS preferred	
6.1.1.14	NW selection mode at switch-on	Rel-7	C620	UEs supporting FDD and NW selection mode at switch-on	1 Execution: CS+PS preferred	
6.1.1.15	Exception to manual network selection mode at switch-on	Rel-7	C597	UEs supporting FDD and Exception to manual network selection mode at switch-on	1 Execution: CS+PS preferred	
6.1.2.1	Cell reselection	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.1a	Cell reselection for inter-band operation	R99	C481	UE supporting FDD and multiple FDD bands simultaneously	1 Execution: CS+PS preferred	
6.1.2.2	Cell reselection using Qhyst, Qoffset and Treselection	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.3	HCS cell reselection	R99	C821	UEs supporting FDD and Support of automatic PS attach procedure at switch on	1 Execution: PS 	
6.1.2.4	HCS cell reselection using reselection timing parameters for the H criterion	R99	C01	UEs supporting FDD.	1 Execution: CS+PS preferred	
6.1.2.5	HCS Cell reselection using reselection timing parameters for the R criterion	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.6	Emergency calls	R99	C04	UEs supporting FDD and emergency speech call	1 Execution: CS+PS preferred	
6.1.2.7	Void					
6.1.2.8	Cell reselection: Equivalent PLMN	R99	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.9	Void					
6.1.2.9a	Cell reselection using cell status and cell reservations – Type “A” USIM	R99	C01 OR C02	UEs supporting FDD UEs supporting TDD	1 Execution: CS+PS preferred	
6.1.2.9b	Cell reselection using cell status and cell reservations – Type “B” USIM	R99	C01 OR C02	UEs supporting FDD UEs supporting TDD	1 Execution: CS+PS preferred	
6.1.2.10	HCS inter-frequency cell reselection	Rel-5	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.10a	HCS inter-frequency cell reselection for inter-band operation	Rel-5	C481	UE supporting FDD and multiple FDD bands simultaneously	1 Execution: CS+PS preferred	
6.1.2.11	Cell reselection in shared network environment	Rel-6	C01	UEs supporting FDD	1 Execution: CS+PS preferred	
6.1.2.12	Cell reselection based on absolute priority	Rel-8	C01a OR C642 OR C642 OR C642 OR C642 OR C642 OR C642	UEs supporting UTRA FDD and Priority based Reselection|UEs supporting FDD and MBMS broadcast services in MBSFN mode|UEs supporting FDD and MBMS broadcast services in MBSFN mode|UEs supporting FDD and MBMS broadcast services in MBSFN mode|UEs supporting FDD and MBMS broadcast services in MBSFN mode|UEs supporting FDD and MBMS broadcast services in MBSFN mode|UEs supporting FDD and MBMS broadcast services in MBSFN mode	1 Execution: CS+PS preferred	
6.2.1.1	Selection of the correct PLMN and associated RAT	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.1.2	Selection of RAT for HPLMN; Manual mode	R99	C05	UEs supporting FDD and GSM		
6.2.1.2a	Selection of RAT for HPLMN; Different ITU regions; Manual mode	R99	C640	UEs supporting FDD and GSM and at least one FDD frequency band in ITU region 2 and at least one GSM frequency band in ITU region 1	1 Execution: CS+PS preferred	
6.2.1.3	Selection of RAT for UPLMN; Manual mode	R99	C05	UEs supporting FDD and GSM		
6.2.1.4	Selection of RAT for OPLMN; Manual mode	R99	C05	UEs supporting FDD and GSM		
6.2.1.5	Selection of \"Other PLMN / access technology combinations\"; Manual mode	R99	C05	UEs supporting FDD and GSM		
6.2.1.6	Selection of RAT for HPLMN; Automatic mode	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.1.7	Selection of RAT for UPLMN; Automatic mode	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.1.8	Selection of RAT for OPLMN; Automatic mode	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.1.8a.1	Selection of RAT for OPLMN; Different ITU regions; Automatic mode	R99	C641	UEs supporting FDD and GSM and at least one frequency band of different ITU region in each RAT.	1 Execution: CS+PS preferred	
6.2.1.8a.2	Selection of RAT for OPLMN; Different ITU regions; Limited service; Automatic mode	R99	C641	UEs supporting FDD and GSM and at least one frequency band of different ITU region in each RAT.	1 Execution: CS+PS preferred	
6.2.1.8a.3	Selection of RAT for OPLMN; Different ITU regions; No service; Automatic mode	R99	C641	UEs supporting FDD and GSM and at least one frequency band of different ITU region in each RAT.	1 Execution: CS+PS preferred	
6.2.1.9	Selection of \"Other PLMN / access technology combinations\"; Automatic mode	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.1.10	Void					
6.2.1.11	Selection of PLMN and RAT in shared network environment, Manual mode	Rel-6	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.1	Cell reselection if cell becomes barred or S<0; UTRAN to GSM	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.2	Cell reselection if cell becomes barred or C1<0; GSM to UTRAN	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.3	Cell reselection timings; GSM to UTRAN	R99	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.4	Cell reselection in multi-mode shared network environment	Rel-6	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.5	Cell reselection using SIB18; UTRAN to GSM	Rel-6	C05	UEs supporting FDD and GSM	1 Execution: CS+PS preferred	
6.2.2.6	Cell reselection based on absolute priorities in SIB19; UTRAN to GSM.	Rel-8	C05a	UEs supporting UTRA FDD, Priority based reselection and GSM		
6.3.1.1	Manual CSG ID Selection	Rel-8	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.1.2	UE in automatic network selection mode to select a suitable CSG cell	Rel-8	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.1.3	Manual CSG ID Selection across PLMNs	Rel-9	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.1.4	Suitable Cell checking for reselection to the CSG cell	Rel-9	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.2.1	Intra-frequency cell reselection from a non-CSG cell to an allowed CSG cell	Rel-8	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.2.2	Inter-frequency cell reselection from a non-CSG cell to an allowed CSG cell	Rel-8	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.2.3	Inter-RAT Cell Reselection / from GSM_Idle / GPRS Packet_Idle to a UTRA idle CSG cell	Rel-8	C783	UEs supporting FDD and GSM and CSG	1 Execution: CS+PS preferred	
6.3.3.1	Intra frequency CSG Cell Reselection	Rel-8	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.3.2	Void					
6.3.4.1	Inter-frequency Cell Reselection with Hybrid Cells	Rel-9	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.3.4.2	Cell Reselection with Hybrid Cells for non-member UEs	Rel-9	C650	UEs supporting FDD and CSG	1 Execution: CS+PS preferred	
6.4.1	WLAN Offload / Cell Selection / UTRA RRC_Idle to/from WLAN (Qrxlevmeas, BeaconRSSI)	Rel-12	C919	UEs supporting UTRAN FDD and WLAN and allowed offload to and from WLAN and supporting multiple PDP contexts		
6.4.2	WLAN Offload / Cell Selection / UTRA RRC_Idle to/from WLAN (Qrxlevmeas, BackhaulRateDlWLAN, WLAN identifier no match/match)	Rel-12	C919	UEs supporting UTRAN FDD and WLAN and allowed offload to and from WLAN and supporting multiple PDP contexts		
6.4.3	WLAN Offload / Cell Selection / UTRA RRC_Idle to/from WLAN (Qrxlevmeas, BackhaulRateUlWLAN)	Rel-12	C919	UEs supporting UTRAN FDD and WLAN and allowed offload to and from WLAN and supporting multiple PDP contexts		
6.4.4	WLAN Offload / Cell Selection / UTRA RRC_Idle to/from WLAN (Qqualmeas, ChannelUtilizationWLAN)	Rel-12	C919	UEs supporting UTRAN FDD and WLAN and allowed offload to and from WLAN and supporting multiple PDP contexts		
6.4.5	Void					
7	LAYER 2					
7.1.1.1	CCCH mapped to RACH/FACH / Invalid TCTF	R99	R	All UEs	1 Execution: PS preferred	
7.1.1.2	DTCH or DCCH mapped to RACH/FACH / Invalid TCTF	R99	R	All UEs	1 Execution: PS preferred	
7.1.1.3	DTCH or DCCH mapped to RACH/FACH / Invalid C/T Field	R99	R	All UEs	1 Execution: PS preferred	
7.1.1.4	DTCH or DCCH mapped to RACH/FACH / Invalid UE ID Type Field	R99	R	All UEs	1 Execution: PS preferred	
7.1.1.5	DTCH or DCCH mapped to RACH/FACH / Incorrect UE ID	R99	R	All UEs	1 Execution: PS preferred	
7.1.1.6	DTCH or DCCH mapped to DSCH or USCH	R99 and Rel-4 only	C397	UEs supporting PDSCH (FDD)		
7.1.1.7	DTCH or DCCH mapped to CPCH	R99 and Rel-4 only	C66	UEs supporting PCPCH		
7.1.1.8	DTCH or DCCH mapped to DCH / Invalid C/T Field 	R99	R	All UEs	1 Execution: PS preferred	
7.1.2.1.1	Void					
7.1.2.1.2	Selection and control of Power Level (3.84 Mcps TDD option)	R99	[FFS]	[FFS]		
7.1.2.1.3	Void					
7.1.2.2.1	Void					
7.1.2.2.2	Correct application of Dynamic Persistence (3.84 TDD Mcps option)	R99	[FFS]	[FFS]		
7.1.2.2.3	Void					
7.1.2.3.1	Correct Selection of RACH parameters (FDD)	R99	C01	UEs supporting FDD	1 Execution: PS preferred	
7.1.2.3.2	Correct Selection of RACH parameters (3.84 Mcps TDD option)	R99	[FFS]	[FFS]		
7.1.2.4a	Access Service class selection for RACH transmission	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS preferred	
7.1.2.5	Void					
7.1.3.1	Priority handling between data flows of one UE	R99	R	All UEs	1 Execution: PS preferred	
7.1.3.2	TFC Selection	R99	C386	UE supporting FDD and radio bearer configuration “Streaming / unknown / UL:16 DL:64 kbps / PS RAB + Interactive or background / UL:16 DL:64 kbps / PS RAB + UL:13.6 DL:13.6 kbps SRBs for DCCH”	1 Execution: PS preferred	
7.1.4.1	Control of CPCH transmissions for FDD	R99 and Rel-4 only	C66	UEs supporting PCPCH		
7.1.5.1	MAC-hs reordering and stall avoidance	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5.2	MAC-hs priority queue handling	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5.3	MAC-hs PDU header handling	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5.4	MAC-hs retransmissions	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5.5	MAC-hs reset	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5.6	MAC-hs transport block size selection	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
7.1.5a.1	MAC-ehs multiplexing / multiple logical channels on same queue	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.1.5a.2	MAC-ehs multiplexing / multiple logical channels on multiple queues	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.1.5a.3	MAC-ehs segmentation / UE handling of partial and full PDUs	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.1.5a.4	MAC-ehs reordering and stall avoidance	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.1.5a.5.2	MAC-ehs transport block size selection /QPSK and 16QAM	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.1.5a.5.3	MAC-ehs transport block size selection / 64QAM	Rel-7	C588	UEs supporting FDD and MAC-ehs and (FDD HS-DSCH category 13 or FDD HS-DSCH category 14 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18) or FDD HS-DSCH category 19 or FDD HS-DSCH category 20	1 Execution: PS	
7.1.5a.6	UE Identification on HS-PDSCH in CELL FACH	Rel-7	C591	UEs supporting FDD and HS-PDSCH in CELL_FACH	1 Execution: PS	
7.1.5a.7	HARQ retransmissions without ACK/NACK signalling in CELL_FACH	Rel-7	C591	UEs supporting FDD and HS-PDSCH in CELL_FACH	1 Execution: PS	
7.1.5b.1	HARQ procedure for HS-SCCH less operation	Rel-7	C580	UEs supporting FDD and HS-SCCH less operation	1 Execution: PS	
7.1.6.1.1	MAC-es/e multiplexing without RRC restrictions	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.1.2	MAC-es/e multiplexing with RRC restrictions	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.1.3	Correct settings of MAC-es/e header fields	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.1	Correct settings of MAC-es/e scheduling information	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.2	Happy bit setting	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.3	MAC-es/e non-scheduled transmissions	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.4	MAC-es/e correct handling of scheduled transmissions when absolute grant varies	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.5	MAC-es/e de-activation and re-activation of HARQ processes	Rel-6	C442 OR C442a	UEs supporting FDD and HS-PDSCH and E-DPDCH and E-DCH 2ms TTI (E-DCH category 2, 4 or 6)|UEs supporting FDD and HS-PDSCH and E-DPDCH and E-DCH 2ms TTI (E-DCH category 2, 4, 6 or 7)	1 Execution: PS	
7.1.6.2.6	MAC-es/e correct handling of relative grants	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.7	MAC-es/e correct handling of absolute grants on Primary and Secondary E-RNTI	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.8	MAC-es/e combined non-scheduled and scheduled transmissions	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.9	MAC-es/e Correct handling of HARQ profile power offsets	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.10	MAC-es/e Correct handling of minimum set of E-TFCI	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.2.11	MAC-es/e correct handling of absolute and relative grants in discontinuous downlink reception operation	Rel-7	C581	UEs supporting FDD and UL DTX and DL DRX	1 Execution: PS	
7.1.6.3.1	MAC-es/e E-TFC priority	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.3.2	MAC-es/e transport block size selection	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.3.2a	MAC-es/e transport block size selection/ UL 16QAM	Rel-7	C585	UEs supporting FDD and HS-PDSCH and E-DPDCH and UL 16QAM	1 Execution: PS	
7.1.6.3.3	Impact on E-TFCI selection on MAC at UE for UL DRX at Node B/ MAC Inactivity Threshold>1	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
7.1.6.3.4	Impact on E-TFCI selection on MAC at UE for UL DRX at Node B/ MAC Inactivity Threshold =1	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
7.1.6.4.1	MAC-es/e process handling	Rel-6	C442	UEs supporting FDD and HS-PDSCH and E-DPDCH and E-DCH 2ms TTI (E-DCH category 2, 4 or 6)	1 Execution: PS	
7.1.6.4.2	MAC-es/e maximum number of retransmissions	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.6.4.3	MAC-es/e Correct handling of MAC-es/e reset	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
7.1.7.1	MAC-i/is multiplexing (multiple PDUs from different LC in one TTI)	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
7.1.7.2	MAC-i/is segmentation / Correct Usage of Segmentation Status Field	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
7.1.7.3	Correct settings of MAC-i/is header fields	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
