Clause	Title	Release	Applicability	Comments
PDP Context Activation
6.2	General Purpose PDP Context Establishment (UE Requests for a Dedicated PDP Context)	Rel-8	C04	UE capable of being configured to initiate Dedicated PDP Context
6.3	Dedicated PDP Context Establishment	Rel-8	C04	UE capable of being configured to initiate Dedicated PDP Context
P-CSCF Discovery
7.1	P-CSCF Discovery via PDP Context	Rel-8	C05	UE capable of being configured to initiate P-CSCF Discovery via PCO
7.2	P-CSCF Discovery via DHCP - IPv4	Rel-8	C06	UE supports IPv4 and capable of being configured to initiate P-CSCF Discovery via DHCPv4
7.3	P-CSCF Discovery via DHCP - IPv4 (UE Requests P-CSCF discovery via PCO)	Rel-8	C07	UE supports IPv4, supports P-CSCF Discovery via PCO and DHCPv4 and capable of being configured to initiate P-CSCF Discovery via PCO
7.4	P-CSCF Discovery by DHCP - IPv6	Rel-8	C08	UE capable of being configured to initiate P-CSCF Discovery via DHCPv6
7.5	P-CSCF Discovery by DHCP-IPv6 (UE Requests P-CSCF discovery by PCO)	Rel-8	C09	UE supports P-CSCF Discovery via PCO and DHCPv6 and capable of being configured to initiate P-CSCF Discovery via PCO
7.6	P-CSCF Discovery by DHCP - IPv6 (UE does not Request P-CSCF discovery by PCO, SS includes P-CSCF Address(es) in PCO)	Rel-8	C10	UE supports P-CSCF Discovery via PCO and DHCPv6 and capable of being configured to initiate P-CSCF Discovery via DHCPv6
7.7	Void			
7.8	Void			
7.9	Void			
Registration
8.1	Initial registration	Rel-8	C17	UE supports IMS security and E-UTRA and not UE category M1
8.2	User Initiated Re-Registration	Rel-8	C17	UE supports IMS security and E-UTRA and not UE category M1
8.3	Mobile Initiated Deregistration	Rel-8	C80	UE supports IMS security and IMS deregistration and E-UTRA and not UE category M1
8.4	Invalid Behaviour - 423 Interval Too Brief	Rel-8	C17	UE supports IMS security and E-UTRA and not UE category M1
8.5	Void			
8.6	Void			
8.7	Void			
8.8	Void			
8.9	Void			
8.10	Initial registration using GIBA	Rel-8	C18	UE supports GIBA only and E-UTRA and not UE category M1
8.11	Initial registration using IMS AKA and GIBA against a network with GIBA support only	Rel-8	C19	UE supports IMS security and GIBA and E-UTRA and not UE category M1
8.12	User initiated re-registration using GIBA	Rel-8	C18	UE supports GIBA only and E-UTRA and not UE category M1
8.13	User initiated de-registration using GIBA	Rel-8	C18	UE supports GIBA only and E-UTRA and not UE category M1
