Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
			Condition	Comments			
		Transmitter Characteristics
6.2.2	UE Maximum Output Power	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.2.2_1	UE Maximum Output Power for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD, TDD	
							
6.2.2A.1	UE Maximum Output Power for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.2.2A.2	UE Maximum Output Power for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03		
						FDD, TDD	
6.2.2A.3	UE Maximum Output Power for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02		
						FDD, TDD	
6.2.2B	UE Maximum Output Power for UL-MIMO	Rel-10	C07	UE supporting E-UTRA Power Class 3 and UL-MIMO	D05	FDD, TDD	
							
6.2.2B_1	HPUE Maximum Output Power for UL-MIMO	Rel-10	C202	UE supporting E-UTRA Power Class 2 and UL-MIMO	D05	FDD, TDD	
							
6.2.2E	UE Maximum Output Power for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
6.2.2EA	UE Maximum Output Power for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.2.2F	UE Maximum Output Power for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
6.2.5	Configured UE transmitted Output Power	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.2.5_1	Configured UE transmitted Output Power for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD, TDD	
							
6.2.5A.1	Configured UE transmitted Output Power for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.2.5A.3	Additional Maximum Power Reduction (A-MPR) for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.2.5A.4	Additional Maximum Power Reduction (A-MPR) for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.2.5B	Configured transmitted power for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
