Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
E-UTRAN RRC_IDLE State Mobility	
4.2.1	E-UTRAN FDD - FDD cell re-selection intra frequency case	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
4.2.2	E-UTRAN TDD - TDD cell re-selection intra frequency case	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
4.2.3	E-UTRAN FDD - FDD cell re-selection inter frequency case	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
4.2.4	E-UTRAN FDD - TDD cell re-selection inter frequency case	Rel-9	C03	UE supporting E-UTRA FDD and E-UTRA TDD			2Rx, 4Rx
4.2.5	E-UTRAN TDD - FDD cell re-selection inter frequency case	Rel-9	C03	UE supporting E-UTRA FDD and E-UTRA TDD			2Rx, 4Rx
4.2.6	E-UTRAN TDD - TDD cell re-selection inter frequency case	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
4.2.7	E-UTRAN FDD - FDD Inter frequency case in the existence of non-allowed CSG cell	Rel-9	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
4.2.8	E-UTRAN TDD - TDD Inter frequency case in the existence of non-allowed CSG cell	Rel-9	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
4.2.9	E-UTRAN FDD-FDD intra-frequency Cell Re-selection case for 5MHz bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
4.2.12	E-UTRAN FDD - FDD Intra frequency case for Cat-M1 UE in normal coverage	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE category M1			
4.2.13	E-UTRAN HD - FDD Intra frequency case for Cat-M1 UE in normal coverage	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE category M1			
4.2.14	E-UTRAN TDD - TDD Intra frequency case for Cat-M1 UE in normal coverage	Rel-13	C93a	UE supporting E-UTRA TDD and UE category M1			
4.2.15	E-UTRAN FDD - FDD Intra frequency case for Cat-M1 UE in enhanced coverage	Rel-13	C94e	UE supporting E-UTRA FD-FDD and (UE category M1 and CE Mode B)			
4.2.16	E-UTRAN HD - FDD Intra frequency case for Cat-M1 UE in enhanced coverage	Rel-13	C94f	UE supporting E-UTRA HD-FDD and (UE category M1 and CE Mode B)			
4.2.17	E-UTRAN TDD - TDD Intra frequency case for Cat-M1 UE in enhanced coverage	Rel-13	C93e	UE supporting E-UTRA TDD and (UE category M1 and CE Mode B)			
4.2.18	HD-FDD Cell Re-selection Intra frequency case for Category NB1 UE In-Band mode under Normal Coverage	Rel-13	C154	UE supporting category NB1			
4.2.19	HD – FDD Intra frequency case for UE Category NB1 In-Band mode in enhanced coverage	Rel-13	C154	UE supporting category NB1			
4.2.20	E-UTRAN FDD – FDD Intra frequency case for UE Category 1bis	Rel-13	C194	UE supporting E-UTRA FDD and UE Category 1bis			
4.2.21	E-UTRAN TDD – TDD Intra frequency case for UE Category 1bis	Rel-13	C195	UE supporting E-UTRA TDD and UE Category 1bis			
4.2.22	E-UTRAN FDD - FDD cell re-selection intra frequency case for UE configured with highSpeedEnhancedMeasFlag	Rel-14	C196	UEs supporting E-UTRA FDD and high speed enhancement for measurement			
4.2.23	E-UTRAN TDD - TDD cell re-selection intra frequency case for UE configured with highSpeedEnhancedMeasFlag	Rel-14	C197	UEs supporting E-UTRA TDD and high speed enhancement for measurement			
4.2.24	HD – FDD Inter frequency case for UE Category NB1 In-Band mode in normal coverage	Rel-13	C154	UE supporting category NB1			
4.3.1.1	E-UTRA FDD - UTRAN FDD cell re-selection	Rel-8	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
4.3.1.2	E-UTRA FDD - UTRAN FDD cell re-selection: UTRA FDD is of lower priority	Rel-8	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
4.3.1.3	E-UTRAN FDD - UTRAN FDD cell re-selection in fading propagation conditions: UTRA FDD is of lower priority	Rel-8	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
4.3.1.4	E-UTRAN FDD - UTRAN FDD cell re-selection: UTRA FDD is of lower priority for 5MHz bandwidth	Rel-8	C53	UE supporting E-UTRA FDD and only E-UTRA Band 31 and UTRA FDD			
4.3.2	E-UTRAN FDD - UTRAN TDD cell re-selection	Rel-8	C06	UE supporting E-UTRA FDD and UTRA TDD		Rel-9 UTRA TDD	2Rx, 4Rx
4.3.3	E-UTRAN TDD - UTRAN FDD cell re-selection	Rel-8	C07	UE supporting E-UTRA TDD and UTRA FDD			2Rx, 4Rx
4.3.4.1	E-UTRA TDD - UTRAN TDD cell re-selection	Rel-8	C05	UE supporting E-UTRA TDD and UTRA TDD		Rel-9 UTRA TDD	2Rx, 4Rx
4.3.4.2	E-UTRAN TDD - UTRAN TDD cell re-selection: UTRA is of lower priority	Rel-8	C05	UE supporting E-UTRA TDD and UTRA TDD		Rel-9 UTRA TDD	2Rx, 4Rx
4.3.4.3	EUTRA TDD-UTRA TDD cell reselection in fading propagation conditions: UTRA TDD is of lower priority	Rel-8	C05	UE supporting E-UTRA TDD and UTRA TDD		Rel-9 UTRA TDD	2Rx, 4Rx
4.4.1	E-UTRAN FDD - GSM cell re-selection	Rel-8	C08	UE supporting E-UTRA FDD and GSM 			2Rx, 4Rx
4.4.2	E-UTRAN TDD - GSM cell re-selection	Rel-8	C09	UE supporting E-UTRA TDD and GSM			2Rx, 4Rx
4.5.1.1	E-UTRAN FDD - HRPD Cell re-selection: HRPD is of lower priority	Rel-8	C10	UE supporting E-UTRA FDD and cdma2000 HRPD			2Rx, 4Rx
4.5.2.1	E-UTRAN TDD - HRPD Cell Reselection: HRPD is of Lower Priority	Rel-9	C34	UE supporting E-UTRA TDD and cdma2000 HRPD			2Rx, 4Rx
