Clause	TC Title	Release	Applicability		Additional Information			
			Condition	Comment	Specific ICS	Specific IXIT	Number of TC Executions	Release other RAT
6	IDLE MODE							
6.1.1.1	PLMN selection of RPLMN, HPLMN/EHPLMN, UPLMN and OPLMN / Automatic mode	Rel-8	R	UEs supporting E-UTRA	pc_eFDD		Either TC 6.1.1.1 or TC 6.1.1.1b shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.1a	PLMN selection / Automatic mode/ between FDD and TDD	Rel-8	C142	UEs supporting E-UTRA FDD and E-UTRA TDD				
6.1.1.1b	PLMN selection of RPLMN, HPLMN/EHPLMN, UPLMN and OPLMN / Automatic mode / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA. This test is 'cells on single frequency only' equivalent of TC 6.1.1.1	pc_eFDD		Either TC 6.1.1.1 or TC 6.1.1.1b shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.2	PLMN selection of "Other PLMN/access technology combinations" / Automatic mode	Rel-8	R	UEs supporting E-UTRA	pc_eFDD		Either TC 6.1.1.2 or TC 6.1.1.2a shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.2a	PLMN selection of "Other PLMN/access technology combinations" / Automatic mode / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA This test is 'cells on single frequency only' equivalent of 6.1.1.2	pc_eFDD		Either TC 6.1.1.2 or TC 6.1.1.2a shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.3	Cell reselection of ePLMN in manual mode	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Either TC 6.1.1.3 or TC 6.1.1.3b shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.3a	Cell reselection of ePLMN in manual mode / between FDD and TDD	Rel-9	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 3	
6.1.1.3b	Cell reselection of ePLMN in manual mode / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA. This test is 'cells on single frequency only' equivalent of 6.1.1.3	pc_eFDD		Either TC 6.1.1.3 or TC 6.1.1.3b shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.4	PLMN selection in shared network environment / Automatic mode	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
