c	Title	Release	Applicability	Applicability Limitations	Status	Specific PICS Statements	Supported	
11.1.1	Mobile Terminated (MT) calls	Phase 2	Each MT Bearer Service and MT Teleservice supported by the MS		C31			
11.1.2	Mobile Originated (MO) calls	Phase 2	Each MO Bearer Service and MO Teleservice supported by the MS		C36			
11.2	Verification of support of the single numbering scheme	Phase 2	MS supporting at least one MT circuit switched basic service		C31			
11.3	Verification of non-support of services (Advice of Charge Charging (AOCC))	Phase 2	MS which support at least one circuit switched basic service and do not support AOCC		C32	TSPC_AddInfo_MTsvc TSPC_AddInfo_MOsvc		
11.4	Verification of non-support of services (call hold)	Phase 2	MS which support AOCC and MO Teleservices and do not support the Call Hold supplementary service		C33			
11.5	Verification of non-support of services (multiparty)	Phase 2	MS which support Call Hold and AOCC and MO Teleservices and, but do not support the Multi-Party supplementary service		C34			
11.6	Verification of non-support of feature (Fixed Dialling Number (FDN))	Phase 2	MS which support MO Teleservices and do not support FDN		C35			
11.7	IMEI Security	Phase 2	All MS	E1	A			
12.1.1	Conducted spurious emissions, MS allocated a channel	Phase 2	All MS with a permanent antenna connector which do not support R-GSM.		C99	TSPC_operation_mode_C TSPC_Type_EGPRS_8PSK_uplink		
12.1.2	Conducted spurious emissions, MS in idle mode	Phase 2	All MS with a permanent antenna connector which do not support R-GSM.		C99	TSPC_operation_mode_C		
12.2.1	Radiated spurious emissions, MS allocated a channel	Phase 2	All MS not supporting R-GSM. The test at extreme voltages does not apply to MS where a practical connection to an external power supply is not possible		C102			
12.2.2	Radiated spurious emissions, MS in idle mode	Phase 2	All MS not supporting R-GSM. The test at extreme voltages does not apply to MS where a practical connection to an external power supply is not possible		C102			
12.3.1	Conducted spurious emissions, MS allocated a channel for MS supporting the R-GSM or ER-GSM band	R96	R-GSM MS with a permanent antenna connector		C115			
12.3.2	Conducted spurious emissions, MS in idle mode for MS supporting the R-GSM or ER_GSM band	R96	R-GSM MS with a permanent antenna connector		C115			
12.4.1	Radiated spurious emissions, MS allocated a channel for MS supporting the R-GSM or ER-GSM band	R96	R-GSM MS. The test at extreme voltages does not apply to MS where a practical connection to an external power supply is not possible		C103			
12.4.2	Radiated spurious emissions, MS in idle mode for MS supporting the R-GSM or ER-GSM band	R96	R-GSM MS. The test at extreme voltages does not apply to MS where a practical connection to an external power supply is not possible		C103			
13.1	Frequency error and phase error	Phase 2	All MS (NOTE 2)	R2, R13, L6	A			
13.1a	Frequency error in VAMOS configuration	Rel-9	MS supporting VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
13.1b	Frequency error and phase error in TIGHTER configuration \\ with legacy TSC in VAMOS mode	Rel-10	MS supporting Tighter and not VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C561			
13.2	Frequency error under multipath and interference conditions	Phase 2	All MS (NOTE 2)	R13	A			
