Item	Description	Release	Test sequence (s)	Rel 96 ME	Rel 97 ME	Rel 98  ME	Rel 99 ME	Rel-4 ME	Terminal  Profile	Network Dependency	Support	Recommendation for terminals also supporting USAT	Additional test case execution parameter
1	PROFILE DOWNLOAD 27.22.1	R96	1	M	M	M	M	M	E.1/1	No			
2	Contents of the TERMINAL PROFILE command 27.22.2	R96		M	M	M	M	M	E.1/1	No			
3	Servicing of Proactive SIM Commands 27.22.3	R96		M	M	M	M	M		No			
4	DISPLAY TEXT 27.22.4.1												
	Unpacked	R96	1.1	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	Screen busy	R96	1.2	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	high priority	R96	1.3	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	Packed	R96	1.4	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	clear after delay	R96	1.5	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	long text up to 160 bytes	R96	1.6	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	Backwards move in SIM session	R96	1.7	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/17 AND E.1/110 AND E.1/111	No		AER001	
	Session terminated by user	R96	1.8	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/17 AND E.1/110 AND E.1/111	No		AER001	
	Command not understood by ME	R96	1.9	C139	C139	C139	C139	C139	E.1/17 AND E.1/110	No		AER001	
	no response from user	R96	2.1	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	E.1/17 AND E.1/110 AND E.1/111	No		AER001	
	Extension Text	R98	3.1			C106 AND C139	C106 AND C139	C106 AND C139	E.1/17 AND E.1/16 AND E.1/110	No		AER001	
	sustained text	R98	4.1, 4.2			C104 AND C139	C104 AND C139	C104 AND C139	E.1/17 AND E.1/65 AND E.1/110	No			
	sustained text	R98	4.3			C104 AND C139 AND C140	C104 AND C139 AND C140	C104 AND C139 AND C140	E.1/17 AND E.1/65	No			
	sustained text	R98	4.4			C104 AND C139 AND C142	C104 AND C139 AND C142	C104 AND C139 AND C142	E.1/17 AND E.1/65	Yes			
	Icons – basic icon	R98	5.1, 5.3			C108 AND C139	C108 AND C139	C108 AND C139	E.1/17 AND E.1/111	No			
	Icons – colour icon	R98	5.2			C134 AND C139	C134 AND C139	C134 AND C139	E.1/17 AND E.1/111	No			
	UCS2 display	R97	6.1		C118 AND C139	C118 AND C139	C118 AND C139	C118 AND C139	E.1/17 AND E.1/15 AND E.1/111	No			
5	GET INKEY 27.22.4.2												
	prompt unpacked	R96	1.1	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	prompt packed	R96	1.2	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	digits only	R96	1.1	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	Backwards move in SIM session	R96	1.3	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	Session terminated by user	R96	1.4	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	SMS alphabet	R96	1.5	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	Long text up to 160 bytes	R96	1.6	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	no response from user	R96	2.1	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	C120 AND C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
	UCS2 display	R97	3.1		C118 AND C139 AND C140	C118 AND C139 AND C140	C118 AND C139 AND C140	C118 AND C139 AND C140	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No			
	UCS2 display, Long text up to 70 chars	R97	3.2		C118 AND C139 AND C140	C118 AND C139 AND C140	C118 AND C139 AND C140	C118 AND C139 AND C140	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No			
	UCS2 format of entry	R97	4.1		C105 AND C139 AND C140	C105 AND C139 AND C140	C105 AND C139 AND C140	C105 AND C139 AND C140	E.1/18 AND E.1/14 AND E.1/110 AND E.1/111	No			
	"Yes/No" response	R98	5.1			C139 AND C140	C139 AND C140	C139 AND C140	E.1/18 AND E.1/60 AND E.1/110 AND E.1/111	No		AER001	
	Icons  – basic icon	R98	6.1, 6.2			C108 AND C139 AND C140	C108 AND C139 AND C140	C108 AND C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No			
	Icons  – colour icon	R98	6.3, 6.4			C134 AND C139 AND C140	C134 AND C139 AND C140	C134 AND C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No			
	Help information	R97	7.1		C107 AND C139 AND C140	C107 AND C139 AND C140	C107 AND C139 AND C140	C107 AND C139 AND C140	E.1/18 AND E.1/110 AND E.1/111	No		AER001	
6	GET INPUT 27.22.4.3												
	input unpacked	R96	1.1	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/19 AND E.1/110 AND E.1/111	No		AER001	
	input packed	R96	1.2	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/19 AND E.1/110 AND E.1/111	No		AER001	
	digits only	R96	1.1	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/19 AND E.1/110 AND E.1/111	No		AER001	
	SMS alphabet	R96	1.3	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/19 AND E.1/110 AND E.1/111	No		AER001	
	hidden input	R96	1.4	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/19 AND E.1/110 AND E.1/111	No		AER001	
